"id","amount_type","code","amount","name","type_tax_use","sequence","description","chart_template_id/id"
"114","percent","114","7.0","7% (114)","sale","37","7%","l10n_ma_temp_chart"
"115","percent","115","7.0","7% (115)","sale","38","7%","l10n_ma_temp_chart"
"116","percent","116","7.0","7% (116)","sale","39","7%","l10n_ma_temp_chart"
"117","percent","117","7.0","7% (117)","sale","40","7%","l10n_ma_temp_chart"
"119","percent","119","7.0","7% (119)","sale","41","7%","l10n_ma_temp_chart"
"140","percent","140","20.0","20% (140)","purchase","42","20%","l10n_ma_temp_chart"
"141","percent","141","14.0","14% (141)","purchase","43","14%","l10n_ma_temp_chart"
"142","percent","142","10.0","10% (142)","purchase","44","10%","l10n_ma_temp_chart"
"143","percent","143","10.0","10% (143)","purchase","45","10%","l10n_ma_temp_chart"
"144","percent","144","10.0","10% (144)","purchase","46","10%","l10n_ma_temp_chart"
"153","percent","153","10.0","10% (153)","purchase","47","10%","l10n_ma_temp_chart"
"145","percent","145","20.0","20% (145)","purchase","48","20%","l10n_ma_temp_chart"
"146","percent","146","20.0","20% (146)","purchase","49","20%","l10n_ma_temp_chart"
"147","percent","147","14.0","14% (147)","purchase","50","14%","l10n_ma_temp_chart"
"148","percent","148","14.0","14% (148)","purchase","51","14%","l10n_ma_temp_chart"
"149","percent","149","10.0","10% (149)","purchase","52","10%","l10n_ma_temp_chart"
"150","percent","150","10.0","10% (150)","purchase","53","10%","l10n_ma_temp_chart"
"151","percent","151","7.0","7% (151)","purchase","54","7%","l10n_ma_temp_chart"
"152","percent","152","7.0","7% (152)","purchase","55","7%","l10n_ma_temp_chart"
"155","percent","155","20.0","20% (155)","purchase","56","20%","l10n_ma_temp_chart"
"156","percent","156","20.0","20% (156)","purchase","57","20%","l10n_ma_temp_chart"
"162","percent","162","20.0","20% (162)","purchase","58","20%","l10n_ma_temp_chart"
"163","percent","163","20.0","20% (163)","purchase","59","20%","l10n_ma_temp_chart"
"164","percent","164","20.0","20% (164)","purchase","60","20%","l10n_ma_temp_chart"
"165","percent","165","20.0","20% (165)","purchase","61","20%","l10n_ma_temp_chart"
"166","percent","166","20.0","20% (166)","purchase","62","20%","l10n_ma_temp_chart"
"167","percent","167","20.0","20% (167)","purchase","63","20%","l10n_ma_temp_chart"
"168","percent","168","14.0","14% (168)","purchase","64","14%","l10n_ma_temp_chart"
"169","percent","169","7.0","7% (169)","purchase","65","7%","l10n_ma_temp_chart"
"20","percent","20","0.0","Opérations situées hors champs de la TVA","sale","66","0%","l10n_ma_temp_chart"
"30","percent","30","0.0","Opérations exonérées sans droit à déduction","sale","67","0%","l10n_ma_temp_chart"
"40","percent","40","0.0","Opérations exonérées avec droit à déduction","sale","68","0%","l10n_ma_temp_chart"
"50","percent","50","0.0","Opérations faites en suspension de la TVA","sale","69","0%","l10n_ma_temp_chart"
"",,,,,,,,
